Date,Kick Off (local),Home Team,Away Team,Venue,Home Score,Away Score,Play Off Game?,Home Goals,Home Behinds,Away Goals,Away Behinds,Home Odds,Away Odds
2018-05-25,19:50:00,Collingwood,Western Bulldogs,Marvel Stadium,90,55,NA,13,12,8,7,1.39,3
2018-05-20,14:40:00,West Coast,Richmond,Optus Stadium,130,83,NA,20,10,12,11,1.92,1.89
2018-05-20,15:20:00,Brisbane,Hawthorn,Gabba,129,73,NA,20,9,11,7,2.93,1.41
2018-05-20,13:10:00,Carlton,Melbourne,MCG,50,159,NA,7,8,25,9,6.16,1.13
2018-05-19,19:25:00,St Kilda,Collingwood,Marvel Stadium,72,100,NA,10,12,15,10,3.84,1.27
2018-05-19,19:25:00,Sydney,Fremantle,SCG,111,52,NA,17,9,7,10,1.17,5.13
2018-05-19,16:45:00,Essendon,Geelong,MCG,84,50,NA,12,12,7,8,4.94,1.18
2018-05-19,13:15:00,Gold Coast,Port Adelaide,Jiangwan Sports Centre,42,82,NA,6,6,11,16,7.26,1.1
2018-05-19,13:45:00,North Melbourne,GWS Giants,Blundstone Arena,112,69,NA,17,10,9,15,1.46,2.74
2018-05-18,19:20:00,Adelaide,Western Bulldogs,Adelaide Oval,63,26,NA,9,9,2,14,1.3,3.52
2018-05-13,15:20:00,Collingwood,Geelong,MCG,45,66,NA,5,15,9,12,2.3,1.62
2018-05-13,13:10:00,North Melbourne,Richmond,Marvel Stadium,72,82,NA,11,6,12,10,3.57,1.29
2018-05-12,20:10:00,Fremantle,St Kilda,Optus Stadium,89,59,NA,13,11,8,11,1.45,2.78
2018-05-12,19:25:00,Western Bulldogs,Brisbane,Marvel Stadium,107,93,NA,16,11,14,9,1.41,2.89
2018-05-12,16:10:00,Port Adelaide,Adelaide,Adelaide Oval,95,90,NA,14,11,14,6,2.13,1.71
2018-05-12,16:35:00,Gold Coast,Melbourne,Gabba,77,146,NA,11,11,21,20,3.71,1.28
2018-05-12,14:10:00,Carlton,Essendon,MCG,91,78,NA,14,7,10,18,2.92,1.4
2018-05-12,13:45:00,GWS Giants,West Coast,Spotless Stadium,61,86,NA,8,13,12,14,1.49,2.61
2018-05-11,19:50:00,Hawthorn,Sydney,MCG,71,79,NA,10,11,12,7,1.57,2.4
2018-05-06,16:40:00,Brisbane,Collingwood,Gabba,114,121,NA,18,6,19,7,3.37,1.32
2018-05-06,15:20:00,St Kilda,Melbourne,Marvel Stadium,67,106,NA,9,13,16,10,2.89,1.41
2018-05-06,13:10:00,Richmond,Fremantle,MCG,110,33,NA,15,20,4,9,1.13,6.04
2018-05-05,19:10:00,Adelaide,Carlton,Adelaide Oval,125,70,NA,19,11,10,10,1.03,11.76
2018-05-05,19:25:00,Sydney,North Melbourne,SCG,66,68,NA,9,12,9,14,1.22,4.28
2018-05-05,14:35:00,West Coast,Port Adelaide,Optus Stadium,102,60,NA,16,6,9,6,1.78,2.04
2018-05-05,14:10:00,Essendon,Hawthorn,MCG,67,90,NA,10,7,13,12,2.6,1.5
2018-05-05,13:45:00,Western Bulldogs,Gold Coast,Mars Stadium,81,72,NA,11,15,10,12,1.22,4.21
2018-05-04,19:50:00,Geelong,GWS Giants,GMHBA Stadium,93,32,NA,14,9,4,8,1.39,3.05
2018-04-29,14:40:00,Fremantle,West Coast,Optus Stadium,81,89,NA,12,9,13,11,2.27,1.63
2018-04-29,15:20:00,Collingwood,Richmond,MCG,70,113,NA,10,10,16,17,2.68,1.46
2018-04-29,13:10:00,Essendon,Melbourne,Marvel Stadium,72,108,NA,10,12,16,12,2.1,1.73
2018-04-28,19:40:00,Adelaide,Gold Coast,Adelaide Oval,110,62,NA,16,14,9,8,1.08,7.54
2018-04-28,19:25:00,Hawthorn,St Kilda,University of Tasmania Stadium,89,54,NA,13,11,7,12,1.47,2.66
2018-04-28,16:35:00,GWS Giants,Brisbane,Spotless Stadium,77,43,NA,10,17,5,13,1.11,6.43
2018-04-28,14:10:00,North Melbourne,Port Adelaide,Marvel Stadium,69,102,NA,10,9,15,12,2.17,1.68
2018-04-28,13:45:00,Geelong,Sydney,GMHBA Stadium,69,86,NA,10,9,12,14,1.45,2.74
2018-04-27,19:45:00,Western Bulldogs,Carlton,Marvel Stadium,80,59,NA,11,14,8,11,1.43,2.78
2018-04-25,15:20:00,Collingwood,Essendon,MCG,101,52,NA,14,17,7,10,1.73,2.1
2018-04-24,19:25:00,Melbourne,Richmond,MCG,56,102,NA,8,8,15,12,2.54,1.51
2018-04-22,16:40:00,Brisbane,Gold Coast,Gabba,71,76,NA,10,11,11,10,1.71,2.12
2018-04-22,15:20:00,North Melbourne,Hawthorn,Marvel Stadium,98,70,NA,14,14,11,4,2.5,1.53
2018-04-21,18:10:00,Fremantle,Western Bulldogs,Optus Stadium,108,54,NA,16,12,8,6,1.53,2.49
2018-04-21,19:10:00,Port Adelaide,Geelong,Adelaide Oval,50,84,NA,7,8,12,12,1.47,2.66
2018-04-21,16:35:00,Carlton,West Coast,MCG,69,79,NA,10,9,10,19,5.1,1.16
2018-04-21,13:45:00,St Kilda,GWS Giants,Marvel Stadium,73,73,NA,10,13,9,19,3.29,1.33
2018-04-20,19:50:00,Sydney,Adelaide,SCG,75,85,NA,10,15,12,13,1.25,3.94
2018-04-15,16:40:00,Geelong,St Kilda,GMHBA Stadium,103,56,NA,15,13,7,14,1.27,3.74
2018-04-15,15:20:00,Hawthorn,Melbourne,MCG,115,48,NA,18,7,6,12,2.14,1.7
2018-04-15,13:10:00,Essendon,Port Adelaide,Marvel Stadium,106,84,NA,16,10,12,12,2.23,1.65
2018-04-14,18:10:00,West Coast,Gold Coast,Optus Stadium,139,59,NA,21,13,9,5,1.16,5.12
2018-04-14,19:25:00,North Melbourne,Carlton,Blundstone Arena,116,30,NA,18,8,4,6,1.52,2.53
2018-04-14,16:35:00,Western Bulldogs,Sydney,Marvel Stadium,79,86,NA,11,13,13,8,3.63,1.28
2018-04-14,14:10:00,Richmond,Brisbane,MCG,110,17,NA,16,14,2,5,1.1,7
2018-04-14,13:45:00,GWS Giants,Fremantle,UNSW Canberra Oval,82,51,NA,11,16,7,9,1.18,4.79
2018-04-13,19:20:00,Adelaide,Collingwood,Adelaide Oval,58,106,NA,9,4,16,10,1.18,4.84
2018-04-08,14:40:00,West Coast,Geelong,Optus Stadium,95,80,NA,14,11,11,14,1.84,1.95
2018-04-08,15:20:00,Western Bulldogs,Essendon,Marvel Stadium,104,83,NA,14,20,12,11,3.26,1.34
2018-04-08,13:10:00,Richmond,Hawthorn,MCG,102,89,NA,15,12,13,11,1.55,2.44
2018-04-07,19:25:00,St Kilda,Adelaide,Marvel Stadium,55,104,NA,7,13,15,14,3.4,1.32
