Game,Date,Round,Home.Team,Home.Goals,Home.Behinds,Home.Points,Away.Team,Away.Goals,Away.Behinds,Away.Points,Venue,Margin,Season,Round.Type,Round.Number,,
14054,10/06/2012,R11,Port Adelaide,9,8,62,Hawthorn,16,12,108,Football Park,-46,2012,Regular,11,,0
14055,11/06/2012,R11,Melbourne,13,9,87,Collingwood,19,15,129,M.C.G.,-42,2012,Regular,11,,0
14056,14/06/2012,R12,West Coast,10,19,79,Carlton,10,9,69,Subiaco,10,2012,Regular,12,,0
14057,15/06/2012,R12,Adelaide,17,13,115,St Kilda,16,15,111,Football Park,4,2012,Regular,12,,0
14058,16/06/2012,R12,GWS,12,2,74,Richmond,11,20,86,Sydney Showground,-12,2012,Regular,12,,0
14059,16/06/2012,R12,Gold Coast,12,8,80,North Melbourne,11,21,87,Carrara,-7,2012,Regular,12,,0
14060,17/06/2012,R12,Hawthorn,19,21,135,Brisbane Lions,11,4,70,M.C.G.,65,2012,Regular,12,,0
14061,17/06/2012,R12,Footscray,13,17,95,Port Adelaide,8,9,57,Docklands,38,2012,Regular,12,,0
14062,22/06/2012,R13,Sydney,12,8,80,Geelong,11,8,74,S.C.G.,6,2012,Regular,13,,0
14063,23/06/2012,R13,Footscray,7,14,56,Brisbane Lions,18,6,114,Docklands,-58,2012,Regular,13,,0
14064,23/06/2012,R13,Collingwood,12,13,85,West Coast,12,10,82,M.C.G.,3,2012,Regular,13,,0
14065,23/06/2012,R13,Fremantle,14,5,89,Essendon,17,11,113,Subiaco,-24,2012,Regular,13,,0
14066,24/06/2012,R13,Melbourne,20,15,135,GWS,9,3,57,M.C.G.,78,2012,Regular,13,,0
14067,24/06/2012,R13,North Melbourne,17,19,121,Adelaide,13,11,89,Docklands,32,2012,Regular,13,,0
14068,29/06/2012,R14,Carlton,10,10,70,Hawthorn,18,12,120,M.C.G.,-50,2012,Regular,14,,0
14069,30/06/2012,R14,Collingwood,15,17,107,Fremantle,12,6,78,M.C.G.,29,2012,Regular,14,,0
14070,30/06/2012,R14,Adelaide,17,4,106,Richmond,13,9,87,Football Park,19,2012,Regular,14,,0
14071,30/06/2012,R14,West Coast,25,16,166,Gold Coast,5,10,40,Subiaco,126,2012,Regular,14,,0
14072,30/06/2012,R14,Essendon,21,14,140,Footscray,8,8,56,Docklands,84,2012,Regular,14,,0
14073,30/06/2012,R14,Sydney,19,18,132,GWS,5,8,38,Stadium Australia,94,2012,Regular,14,,0
14074,1/07/2012,R14,Geelong,14,15,99,Port Adelaide,8,13,61,Kardinia Park,38,2012,Regular,14,,0
14075,1/07/2012,R14,Brisbane Lions,18,14,122,Melbourne,8,13,61,Gabba,61,2012,Regular,14,,0
14076,1/07/2012,R14,St Kilda,15,13,103,North Melbourne,21,10,136,Docklands,-33,2012,Regular,14,,0
14077,6/07/2012,R15,Collingwood,8,14,62,Carlton,12,13,85,M.C.G.,-23,2012,Regular,15,,0
14078,7/07/2012,R15,North Melbourne,13,6,84,West Coast,12,14,86,Bellerive Oval,-2,2012,Regular,15,,0
14079,7/07/2012,R15,Melbourne,11,12,78,Richmond,13,23,101,M.C.G.,-23,2012,Regular,15,,0
14080,7/07/2012,R15,Sydney,16,14,110,Brisbane Lions,9,9,63,S.C.G.,47,2012,Regular,15,,0
14081,7/07/2012,R15,Port Adelaide,8,10,58,Adelaide,17,14,116,Football Park,-58,2012,Regular,15,,0
14082,7/07/2012,R15,St Kilda,21,7,133,Essendon,8,14,62,Docklands,71,2012,Regular,15,,0
14083,8/07/2012,R15,Hawthorn,28,25,193,GWS,4,7,31,M.C.G.,162,2012,Regular,15,,0
14084,8/07/2012,R15,Gold Coast,13,18,96,Geelong,15,20,110,Carrara,-14,2012,Regular,15,,0
14085,8/07/2012,R15,Fremantle,14,11,95,Footscray,8,9,57,Subiaco,38,2012,Regular,15,,0
14086,13/07/2012,R16,North Melbourne,24,5,149,Carlton,14,12,96,Docklands,53,2012,Regular,16,,0
14087,14/07/2012,R16,Melbourne,12,11,83,Fremantle,18,9,117,Docklands,-34,2012,Regular,16,,0
14088,14/07/2012,R16,Port Adelaide,11,11,77,Essendon,19,13,127,Football Park,-50,2012,Regular,16,,0
14089,14/07/2012,R16,Richmond,13,10,88,Gold Coast,13,12,90,Cazaly's Stadium,-2,2012,Regular,16,,0
14090,14/07/2012,R16,Geelong,10,19,79,Collingwood,17,8,110,M.C.G.,-31,2012,Regular,16,,0
14091,14/07/2012,R16,Brisbane Lions,14,8,92,St Kilda,16,9,105,Gabba,-13,2012,Regular,16,,0
14092,15/07/2012,R16,GWS,8,11,59,Adelaide,27,16,178,Sydney Showground,-119,2012,Regular,16,,0
14093,15/07/2012,R16,Footscray,6,8,44,Hawthorn,17,14,116,Docklands,-72,2012,Regular,16,,0
14094,15/07/2012,R16,West Coast,10,9,69,Sydney,18,13,121,Subiaco,-52,2012,Regular,16,,0
14095,20/07/2012,R17,Geelong,20,14,134,Essendon,10,7,67,Docklands,67,2012,Regular,17,,0
14096,21/07/2012,R17,Collingwood,13,13,91,Hawthorn,21,12,138,M.C.G.,-47,2012,Regular,17,,0
14097,21/07/2012,R17,Adelaide,19,10,124,West Coast,11,9,75,Football Park,49,2012,Regular,17,,0
14098,21/07/2012,R17,Gold Coast,5,18,48,Brisbane Lions,8,11,59,Carrara,-11,2012,Regular,17,,0
14099,21/07/2012,R17,Footscray,12,12,84,Carlton,16,6,102,Docklands,-18,2012,Regular,17,,0
14100,21/07/2012,R17,Melbourne,8,8,56,Port Adelaide,12,12,84,Marrara Oval,-28,2012,Regular,17,,0
14101,22/07/2012,R17,Sydney,15,15,105,St Kilda,10,16,76,S.C.G.,29,2012,Regular,17,,0
14102,22/07/2012,R17,Richmond,14,15,99,North Melbourne,15,13,103,M.C.G.,-4,2012,Regular,17,,0
14103,22/07/2012,R17,Fremantle,18,24,132,GWS,5,7,37,Subiaco,95,2012,Regular,17,,0
14104,27/07/2012,R18,Essendon,12,14,86,Hawthorn,27,18,180,Docklands,-94,2012,Regular,18,,0
14105,28/07/2012,R18,Geelong,15,12,102,Adelaide,11,9,75,Kardinia Park,27,2012,Regular,18,,0
14106,28/07/2012,R18,North Melbourne,19,13,127,Melbourne,11,7,73,Docklands,54,2012,Regular,18,,0
14107,28/07/2012,R18,GWS,7,12,54,Collingwood,26,18,174,Sydney Showground,-120,2012,Regular,18,,0
14108,28/07/2012,R18,Carlton,14,11,95,Richmond,13,13,91,M.C.G.,4,2012,Regular,18,,0
14109,28/07/2012,R18,Gold Coast,8,6,54,Sydney,19,12,126,Carrara,-72,2012,Regular,18,,0
14110,29/07/2012,R18,Port Adelaide,6,12,48,Fremantle,11,9,75,Football Park,-27,2012,Regular,18,,0
14111,29/07/2012,R18,St Kilda,16,22,118,Footscray,6,6,42,Docklands,76,2012,Regular,18,,0
14112,29/07/2012,R18,West Coast,28,7,175,Brisbane Lions,12,5,77,Subiaco,98,2012,Regular,18,,0
14113,3/08/2012,R19,Hawthorn,17,14,116,Geelong,18,10,118,M.C.G.,-2,2012,Regular,19,,0
14114,4/08/2012,R19,Footscray,8,13,61,North Melbourne,18,7,115,Docklands,-54,2012,Regular,19,,0
14115,4/08/2012,R19,GWS,16,11,107,Port Adelaide,10,13,73,Sydney Showground,34,2012,Regular,19,,0
14116,4/08/2012,R19,Fremantle,17,11,113,West Coast,6,12,48,Subiaco,65,2012,Regular,19,,0
14117,4/08/2012,R19,Collingwood,12,19,91,St Kilda,13,7,85,M.C.G.,6,2012,Regular,19,,0
14118,4/08/2012,R19,Brisbane Lions,12,12,84,Richmond,20,12,132,Gabba,-48,2012,Regular,19,,0
14119,5/08/2012,R19,Melbourne,16,12,108,Gold Coast,9,12,66,M.C.G.,42,2012,Regular,19,,0
14120,5/08/2012,R19,Carlton,10,11,71,Sydney,14,9,93,Docklands,-22,2012,Regular,19,,0
14121,5/08/2012,R19,Adelaide,16,8,104,Essendon,15,10,100,Football Park,4,2012,Regular,19,,0
14122,10/08/2012,R20,West Coast,16,6,102,Geelong,15,7,97,Subiaco,5,2012,Regular,20,,0
14123,11/08/2012,R20,St Kilda,16,11,107,Melbourne,12,10,82,M.C.G.,25,2012,Regular,20,,0
14124,11/08/2012,R20,Adelaide,17,17,119,Fremantle,14,7,91,Football Park,28,2012,Regular,20,,0
14125,11/08/2012,R20,Gold Coast,16,13,109,GWS,12,7,79,Carrara,30,2012,Regular,20,,0
14126,11/08/2012,R20,Carlton,17,11,113,Brisbane Lions,10,17,77,Docklands,36,2012,Regular,20,,0
14127,11/08/2012,R20,Sydney,9,16,70,Collingwood,12,6,78,Stadium Australia,-8,2012,Regular,20,,0
14128,12/08/2012,R20,Hawthorn,24,15,159,Port Adelaide,13,9,87,York Park,72,2012,Regular,20,,0
14129,12/08/2012,R20,Richmond,22,18,150,Footscray,12,8,80,M.C.G.,70,2012,Regular,20,,0
14130,12/08/2012,R20,Essendon,11,10,76,North Melbourne,15,10,100,Docklands,-24,2012,Regular,20,,0
14131,17/08/2012,R21,Geelong,18,15,123,St Kilda,11,15,81,Docklands,42,2012,Regular,21,,0
14132,18/08/2012,R21,Essendon,8,12,60,Carlton,24,12,156,M.C.G.,-96,2012,Regular,21,,0
14133,18/08/2012,R21,GWS,9,5,59,Melbourne,11,18,84,Manuka Oval,-25,2012,Regular,21,,0
14134,18/08/2012,R21,Fremantle,13,16,94,Richmond,11,6,72,Subiaco,22,2012,Regular,21,,0
14135,18/08/2012,R21,Brisbane Lions,13,17,95,Adelaide,12,13,85,Gabba,10,2012,Regular,21,,0
14136,18/08/2012,R21,Collingwood,8,13,61,North Melbourne,13,13,91,Docklands,-30,2012,Regular,21,,0
14137,19/08/2012,R21,Port Adelaide,6,14,50,West Coast,14,14,98,Football Park,-48,2012,Regular,21,,0
14138,19/08/2012,R21,Footscray,13,7,85,Sydney,26,11,167,Docklands,-82,2012,Regular,21,,0
14139,19/08/2012,R21,Hawthorn,19,15,129,Gold Coast,10,5,65,M.C.G.,64,2012,Regular,21,,0
14140,24/08/2012,R22,Richmond,13,24,102,Essendon,8,9,57,M.C.G.,45,2012,Regular,22,,0
14141,25/08/2012,R22,St Kilda,25,13,163,GWS,5,5,35,Docklands,128,2012,Regular,22,,0
14142,25/08/2012,R22,Port Adelaide,14,9,93,Brisbane Lions,16,8,104,Football Park,-11,2012,Regular,22,,0
14143,25/08/2012,R22,Sydney,14,11,95,Hawthorn,15,12,102,S.C.G.,-7,2012,Regular,22,,0
14144,25/08/2012,R22,Gold Coast,15,8,98,Carlton,11,20,86,Carrara,12,2012,Regular,22,,0
14145,25/08/2012,R22,West Coast,15,17,107,Collingwood,8,10,58,Subiaco,49,2012,Regular,22,,0
14146,26/08/2012,R22,Geelong,16,11,107,Footscray,11,7,73,Kardinia Park,34,2012,Regular,22,,0
14147,26/08/2012,R22,North Melbourne,12,7,79,Fremantle,20,12,132,Docklands,-53,2012,Regular,22,,0
14148,26/08/2012,R22,Melbourne,11,15,81,Adelaide,22,18,150,M.C.G.,-69,2012,Regular,22,,0
14149,31/08/2012,R23,Hawthorn,14,11,95,West Coast,10,10,70,M.C.G.,25,2012,Regular,23,,0
14150,1/09/2012,R23,Geelong,17,10,112,Sydney,11,12,78,Kardinia Park,34,2012,Regular,23,,0
14151,1/09/2012,R23,Adelaide,22,21,153,Gold Coast,9,8,62,Football Park,91,2012,Regular,23,,0
14152,1/09/2012,R23,GWS,11,11,77,North Melbourne,16,9,105,Sydney Showground,-28,2012,Regular,23,,0
14153,1/09/2012,R23,Essendon,10,12,72,Collingwood,14,20,104,M.C.G.,-32,2012,Regular,23,,0
14154,1/09/2012,R23,Fremantle,14,17,101,Melbourne,5,10,40,Subiaco,61,2012,Regular,23,,0
14155,2/09/2012,R23,Carlton,12,19,91,St Kilda,16,10,106,Docklands,-15,2012,Regular,23,,0
14156,2/09/2012,R23,Richmond,16,10,106,Port Adelaide,16,10,106,M.C.G.,0,2012,Regular,23,,0
14157,2/09/2012,R23,Brisbane Lions,19,14,128,Footscray,9,7,61,Gabba,67,2012,Regular,23,,0
14158,7/09/2012,QF,Hawthorn,20,15,135,Collingwood,15,7,97,M.C.G.,38,2012,Finals,24,,0
14159,8/09/2012,QF,Sydney,11,5,71,Adelaide,5,12,42,Football Park,29,2012,Finals,24,,0
14160,8/09/2012,EF,Fremantle,14,12,96,Geelong,11,14,80,M.C.G.,16,2012,Finals,24,,0
14161,9/09/2012,EF,West Coast,24,18,162,North Melbourne,9,12,66,Subiaco,96,2012,Finals,24,,0
14162,14/09/2012,SF,Adelaide,12,9,81,Fremantle,11,5,71,Football Park,10,2012,Finals,25,,0
14163,15/09/2012,SF,Collingwood,10,13,73,West Coast,9,6,60,M.C.G.,13,2012,Finals,25,,0
14164,21/09/2012,PF,Sydney,13,18,96,Collingwood,10,10,70,Stadium Australia,26,2012,Finals,26,,0
14165,22/09/2012,PF,Hawthorn,13,19,97,Adelaide,14,8,92,M.C.G.,5,2012,Finals,26,,0
14166,29/09/2012,GF,Sydney,14,7,91,Hawthorn,11,15,81,M.C.G.,10,2012,Finals,27,,0
14167,22/03/2013,R1,Adelaide,11,16,82,Essendon,18,9,117,Football Park,-35,2013,Regular,1,,0
14168,23/03/2013,R1,Fremantle,16,12,108,West Coast,11,14,80,Subiaco,28,2013,Regular,1,,0
14169,28/03/2013,R1,Carlton,14,17,101,Richmond,14,22,106,M.C.G.,-5,2013,Regular,1,,0
14170,30/03/2013,R1,Footscray,19,13,127,Brisbane Lions,7,17,59,Docklands,68,2013,Regular,1,,0
14171,30/03/2013,R1,GWS,11,10,76,Sydney,16,10,106,Stadium Australia,-30,2013,Regular,1,,0
14172,30/03/2013,R1,Gold Coast,13,12,90,St Kilda,10,17,77,Carrara,13,2013,Regular,1,,0
14173,31/03/2013,R1,Melbourne,8,6,54,Port Adelaide,19,19,133,M.C.G.,-79,2013,Regular,1,,0
14174,31/03/2013,R1,North Melbourne,13,9,87,Collingwood,15,13,103,Docklands,-16,2013,Regular,1,,0
14175,1/04/2013,R1,Hawthorn,12,14,86,Geelong,13,15,93,M.C.G.,-7,2013,Regular,1,,0
14176,5/04/2013,R2,St Kilda,12,10,82,Richmond,14,15,99,M.C.G.,-17,2013,Regular,2,,0
14177,6/04/2013,R2,Sydney,17,12,114,Gold Coast,11,7,73,S.C.G.,41,2013,Regular,2,,0
14178,6/04/2013,R2,Footscray,11,12,78,Fremantle,16,10,106,Docklands,-28,2013,Regular,2,,0
14179,6/04/2013,R2,Brisbane Lions,10,17,77,Adelaide,14,12,96,Gabba,-19,2013,Regular,2,,0
14180,6/04/2013,R2,Essendon,28,16,184,Melbourne,5,6,36,M.C.G.,148,2013,Regular,2,,0
14181,6/04/2013,R2,Port Adelaide,19,20,134,GWS,11,12,78,Football Park,56,2013,Regular,2,,0
14182,7/04/2013,R2,Geelong,16,16,112,North Melbourne,17,6,108,Docklands,4,2013,Regular,2,,0
14183,7/04/2013,R2,Collingwood,17,15,117,Carlton,15,10,100,M.C.G.,17,2013,Regular,2,,0
14184,7/04/2013,R2,West Coast,15,8,98,Hawthorn,23,10,148,Subiaco,-50,2013,Regular,2,,0
14185,12/04/2013,R3,Fremantle,9,14,68,Essendon,10,12,72,Subiaco,-4,2013,Regular,3,,0
14186,13/04/2013,R3,North Melbourne,13,14,92,Sydney,20,11,131,Bellerive Oval,-39,2013,Regular,3,,0
14187,13/04/2013,R3,Melbourne,13,5,83,West Coast,27,15,177,M.C.G.,-94,2013,Regular,3,,0
14188,13/04/2013,R3,GWS,10,8,68,St Kilda,21,14,140,Manuka Oval,-72,2013,Regular,3,,0
14189,13/04/2013,R3,Geelong,18,11,119,Carlton,15,13,103,Docklands,16,2013,Regular,3,,0
14190,13/04/2013,R3,Gold Coast,13,14,92,Brisbane Lions,13,16,94,Carrara,-2,2013,Regular,3,,0
14191,14/04/2013,R3,Richmond,20,15,135,Footscray,10,8,68,Docklands,67,2013,Regular,3,,0
14192,14/04/2013,R3,Collingwood,13,12,90,Hawthorn,22,13,145,M.C.G.,-55,2013,Regular,3,,0
14193,14/04/2013,R3,Port Adelaide,17,16,118,Adelaide,16,13,109,Football Park,9,2013,Regular,3,,0
14194,19/04/2013,R4,Sydney,16,7,103,Geelong,19,10,124,S.C.G.,-21,2013,Regular,4,,0
14195,20/04/2013,R4,Hawthorn,18,10,118,Fremantle,11,10,76,York Park,42,2013,Regular,4,,0
14196,20/04/2013,R4,Richmond,11,13,79,Collingwood,16,17,113,M.C.G.,-34,2013,Regular,4,,0
14197,20/04/2013,R4,St Kilda,13,13,91,Essendon,19,14,128,Docklands,-37,2013,Regular,4,,0
14198,20/04/2013,R4,West Coast,7,23,65,Carlton,12,17,89,Subiaco,-24,2013,Regular,4,,0
14199,20/04/2013,R4,Gold Coast,9,12,66,Port Adelaide,16,8,104,Carrara,-38,2013,Regular,4,,0
14200,21/04/2013,R4,Melbourne,22,12,144,GWS,15,13,103,M.C.G.,41,2013,Regular,4,,0
14201,21/04/2013,R4,Adelaide,12,8,80,Footscray,4,4,28,Football Park,52,2013,Regular,4,,0
14202,21/04/2013,R4,North Melbourne,18,17,125,Brisbane Lions,9,8,62,Docklands,63,2013,Regular,4,,0
14203,25/04/2013,R5,Essendon,18,13,121,Collingwood,10,15,75,M.C.G.,46,2013,Regular,5,,0
14204,25/04/2013,R5,St Kilda,9,9,63,Sydney,11,13,79,Wellington,-16,2013,Regular,5,,0
14205,26/04/2013,R5,Fremantle,12,9,81,Richmond,12,8,80,Subiaco,1,2013,Regular,5,,0
14206,27/04/2013,R5,GWS,16,8,104,Gold Coast,21,22,148,Manuka Oval,-44,2013,Regular,5,,0
14207,27/04/2013,R5,Carlton,17,13,115,Adelaide,12,11,83,M.C.G.,32,2013,Regular,5,,0
14208,27/04/2013,R5,Footscray,13,8,86,Geelong,15,17,107,Docklands,-21,2013,Regular,5,,0
14209,27/04/2013,R5,Port Adelaide,12,12,84,West Coast,10,19,79,Football Park,5,2013,Regular,5,,0
14210,28/04/2013,R5,Brisbane Lions,17,20,122,Melbourne,14,10,94,Gabba,28,2013,Regular,5,,0
14211,28/04/2013,R5,Hawthorn,14,15,99,North Melbourne,13,18,96,M.C.G.,3,2013,Regular,5,,0
14212,3/05/2013,R6,Collingwood,15,13,103,St Kilda,11,11,77,Docklands,26,2013,Regular,6,,0
14213,4/05/2013,R6,Essendon,17,18,120,GWS,12,9,81,Docklands,39,2013,Regular,6,,0
14214,4/05/2013,R6,North Melbourne,14,9,93,Port Adelaide,12,11,83,Bellerive Oval,10,2013,Regular,6,,0
14215,4/05/2013,R6,Adelaide,11,12,78,Hawthorn,13,11,89,Football Park,-11,2013,Regular,6,,0
14216,4/05/2013,R6,Gold Coast,7,12,54,Fremantle,15,9,99,Carrara,-45,2013,Regular,6,,0
14217,4/05/2013,R6,Richmond,13,9,87,Geelong,20,11,131,M.C.G.,-44,2013,Regular,6,,0
14218,5/05/2013,R6,Sydney,17,13,115,Brisbane Lions,8,7,55,S.C.G.,60,2013,Regular,6,,0
14219,5/05/2013,R6,Carlton,18,13,121,Melbourne,8,12,60,M.C.G.,61,2013,Regular,6,,0
14220,5/05/2013,R6,West Coast,21,11,137,Footscray,10,7,67,Subiaco,70,2013,Regular,6,,0
14221,10/05/2013,R7,Geelong,17,11,113,Essendon,11,19,85,Docklands,28,2013,Regular,7,,0
14222,11/05/2013,R7,Port Adelaide,10,13,73,Richmond,18,6,114,Football Park,-41,2013,Regular,7,,0
14223,11/05/2013,R7,Brisbane Lions,12,10,82,West Coast,17,6,108,Gabba,-26,2013,Regular,7,,0
14224,11/05/2013,R7,Footscray,15,7,97,North Melbourne,22,19,151,Docklands,-54,2013,Regular,7,,0
14225,11/05/2013,R7,Fremantle,15,10,100,Collingwood,10,13,73,Subiaco,27,2013,Regular,7,,0
14226,11/05/2013,R7,Hawthorn,18,11,119,Sydney,12,10,82,M.C.G.,37,2013,Regular,7,,0
14227,12/05/2013,R7,GWS,7,10,52,Adelaide,29,13,187,Sydney Showground,-135,2013,Regular,7,,0
14228,12/05/2013,R7,Melbourne,7,12,54,Gold Coast,16,18,114,M.C.G.,-60,2013,Regular,7,,0
14229,13/05/2013,R7,St Kilda,11,11,77,Carlton,9,14,68,Docklands,9,2013,Regular,7,,0
14230,17/05/2013,R8,West Coast,12,18,90,North Melbourne,13,10,88,Subiaco,2,2013,Regular,8,,0
14231,18/05/2013,R8,Essendon,12,14,86,Brisbane Lions,14,12,96,Docklands,-10,2013,Regular,8,,0
14232,18/05/2013,R8,Hawthorn,21,14,140,GWS,9,3,57,York Park,83,2013,Regular,8,,0
14233,18/05/2013,R8,Gold Coast,13,15,93,Footscray,8,13,61,Carrara,32,2013,Regular,8,,0
14234,18/05/2013,R8,Collingwood,15,12,102,Geelong,14,12,96,M.C.G.,6,2013,Regular,8,,0
14235,18/05/2013,R8,Sydney,11,4,70,Fremantle,9,16,70,S.C.G.,0,2013,Regular,8,,0
14236,19/05/2013,R8,Carlton,16,13,109,Port Adelaide,14,7,91,Docklands,18,2013,Regular,8,,0
14237,19/05/2013,R8,Richmond,15,16,106,Melbourne,11,6,72,M.C.G.,34,2013,Regular,8,,0
14238,19/05/2013,R8,Adelaide,12,15,87,St Kilda,6,11,47,Football Park,40,2013,Regular,8,,0
14239,24/05/2013,R9,Collingwood,8,7,55,Sydney,15,12,102,M.C.G.,-47,2013,Regular,9,,0
14240,25/05/2013,R9,Port Adelaide,9,14,68,Geelong,18,8,116,Football Park,-48,2013,Regular,9,,0
14241,25/05/2013,R9,GWS,8,7,55,West Coast,23,17,155,Sydney Showground,-100,2013,Regular,9,,0
14242,25/05/2013,R9,St Kilda,15,11,101,Footscray,17,8,110,Docklands,-9,2013,Regular,9,,0
14243,25/05/2013,R9,Brisbane Lions,12,13,85,Carlton,13,20,98,Gabba,-13,2013,Regular,9,,0
14244,25/05/2013,R9,Richmond,9,8,62,Essendon,13,13,91,M.C.G.,-29,2013,Regular,9,,0
14245,26/05/2013,R9,Hawthorn,18,10,118,Gold Coast,14,8,92,M.C.G.,26,2013,Regular,9,,0
14246,26/05/2013,R9,North Melbourne,19,10,124,Adelaide,18,17,125,Docklands,-1,2013,Regular,9,,0
14247,26/05/2013,R9,Fremantle,19,16,130,Melbourne,6,4,40,Subiaco,90,2013,Regular,9,,0
14248,31/05/2013,R10,Brisbane Lions,7,9,51,Collingwood,14,16,100,Gabba,-49,2013,Regular,10,,0
14249,1/06/2013,R10,Carlton,22,16,148,GWS,8,6,54,Docklands,94,2013,Regular,10,,0
14250,1/06/2013,R10,Adelaide,8,11,59,Fremantle,10,6,66,Football Park,-7,2013,Regular,10,,0
14251,1/06/2013,R10,Sydney,17,13,115,Essendon,10,11,71,S.C.G.,44,2013,Regular,10,,0
14252,1/06/2013,R10,Footscray,10,7,67,Port Adelaide,8,10,58,Marrara Oval,9,2013,Regular,10,,0
14253,1/06/2013,R10,Geelong,18,15,123,Gold Coast,10,11,71,Kardinia Park,52,2013,Regular,10,,0
14254,2/06/2013,R10,Melbourne,6,12,48,Hawthorn,21,17,143,M.C.G.,-95,2013,Regular,10,,0
14255,2/06/2013,R10,North Melbourne,19,19,133,St Kilda,10,5,65,Docklands,68,2013,Regular,10,,0
14256,3/06/2013,R10,West Coast,8,14,62,Richmond,16,7,103,Subiaco,-41,2013,Regular,10,,0
14257,7/06/2013,R11,Essendon,11,11,77,Carlton,10,12,72,M.C.G.,5,2013,Regular,11,,0
14258,8/06/2013,R11,GWS,15,8,98,Geelong,24,13,157,Sydney Showground,-59,2013,Regular,11,,0
14259,8/06/2013,R11,Adelaide,6,14,50,Sydney,19,13,127,Football Park,-77,2013,Regular,11,,0
14260,8/06/2013,R11,Gold Coast,9,12,66,North Melbourne,8,3,51,Carrara,15,2013,Regular,11,,0
14261,9/06/2013,R11,St Kilda,11,14,80,West Coast,12,12,84,Docklands,-4,2013,Regular,11,,0
14262,10/06/2013,R11,Melbourne,5,9,39,Collingwood,17,20,122,M.C.G.,-83,2013,Regular,11,,0
14263,14/06/2013,R12,Carlton,13,9,87,Hawthorn,15,12,102,Docklands,-15,2013,Regular,12,,0
14264,15/06/2013,R12,Richmond,16,14,110,Adelaide,10,12,72,M.C.G.,38,2013,Regular,12,,0
14265,15/06/2013,R12,Fremantle,12,14,86,Brisbane Lions,6,10,46,Subiaco,40,2013,Regular,12,,0
14266,15/06/2013,R12,Essendon,17,13,115,Gold Coast,11,6,72,Docklands,43,2013,Regular,12,,0
14267,16/06/2013,R12,GWS,6,14,50,Port Adelaide,19,11,125,Sydney Showground,-75,2013,Regular,12,,0
14268,16/06/2013,R12,Collingwood,15,9,99,Footscray,9,11,65,Docklands,34,2013,Regular,12,,0
14269,21/06/2013,R13,Hawthorn,19,9,123,West Coast,16,7,103,Docklands,20,2013,Regular,13,,0
14270,22/06/2013,R13,Port Adelaide,10,12,72,Sydney,8,6,54,Football Park,18,2013,Regular,13,,0
14271,22/06/2013,R13,St Kilda,16,8,104,Melbourne,10,9,69,M.C.G.,35,2013,Regular,13,,0
14272,22/06/2013,R13,Footscray,8,13,61,Richmond,17,19,121,Docklands,-60,2013,Regular,13,,0
14273,23/06/2013,R13,Fremantle,10,7,67,North Melbourne,4,5,29,Subiaco,38,2013,Regular,13,,0
14274,23/06/2013,R13,Brisbane Lions,15,13,103,Geelong,14,14,98,Gabba,5,2013,Regular,13,,0
14275,27/06/2013,R14,West Coast,13,13,91,Essendon,15,8,98,Subiaco,-7,2013,Regular,14,,0
14276,28/06/2013,R14,Sydney,8,17,65,Carlton,5,13,43,S.C.G.,22,2013,Regular,14,,0
14277,29/06/2013,R14,Gold Coast,11,17,83,Adelaide,16,15,111,Carrara,-28,2013,Regular,14,,0
14278,29/06/2013,R14,Port Adelaide,13,8,86,Collingwood,7,9,51,Football Park,35,2013,Regular,14,,0
14279,29/06/2013,R14,Melbourne,15,13,103,Footscray,15,10,100,M.C.G.,3,2013,Regular,14,,0
14280,29/06/2013,R14,Geelong,11,19,85,Fremantle,7,2,44,Kardinia Park,41,2013,Regular,14,,0
14281,30/06/2013,R14,Hawthorn,21,17,143,Brisbane Lions,12,13,85,York Park,58,2013,Regular,14,,0
14282,30/06/2013,R14,North Melbourne,19,16,130,GWS,6,8,44,Docklands,86,2013,Regular,14,,0
14283,30/06/2013,R14,Richmond,17,17,119,St Kilda,8,7,55,M.C.G.,64,2013,Regular,14,,0
14284,5/07/2013,R15,Carlton,12,5,77,Collingwood,17,16,118,M.C.G.,-41,2013,Regular,15,,0
14285,6/07/2013,R15,GWS,12,11,83,Footscray,13,9,87,Manuka Oval,-4,2013,Regular,15,,0
14286,6/07/2013,R15,North Melbourne,19,14,128,Richmond,8,18,66,Docklands,62,2013,Regular,15,,0
14287,6/07/2013,R15,Brisbane Lions,17,14,116,Gold Coast,12,11,83,Gabba,33,2013,Regular,15,,0
14288,6/07/2013,R15,Adelaide,9,15,69,West Coast,11,9,75,Football Park,-6,2013,Regular,15,,0
14289,6/07/2013,R15,Geelong,11,16,82,Hawthorn,10,12,72,M.C.G.,10,2013,Regular,15,,0
14290,7/07/2013,R15,Melbourne,13,7,85,Sydney,16,20,116,M.C.G.,-31,2013,Regular,15,,0
14291,7/07/2013,R15,Fremantle,15,10,100,St Kilda,11,4,70,Subiaco,30,2013,Regular,15,,0
14292,7/07/2013,R15,Essendon,18,10,118,Port Adelaide,12,16,88,Docklands,30,2013,Regular,15,,0
14293,12/07/2013,R16,Collingwood,17,9,111,Adelaide,12,12,84,M.C.G.,27,2013,Regular,16,,0
14294,13/07/2013,R16,Port Adelaide,12,7,79,Hawthorn,19,10,124,Football Park,-45,2013,Regular,16,,0
14295,13/07/2013,R16,Geelong,13,20,98,Melbourne,4,6,30,Kardinia Park,68,2013,Regular,16,,0
